"QCT Designation Data Extract for the , CBSA = 12580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable Name,state,county,stcnty,tract,tract_id,split_tr,qct_id,metro18,Area_Pop,cbsa,cbsasub18,VLIL4_2014,VLIL4_2015,VLIL4_2016,p0010001,p0420001,p0150001,B17001est1_14,B17001me1_14,B17001est2_14,B17001me2_14,B19013est1_14,B19013me1_14,B17001est1_15,B17001me1_15,B17001est2_15,B17001me2_15,B19013est1_15,B19013me1_15,B17001est1_16,B17001me1_16,B17001est2_16,B17001me2_16,B19013est1_16,B19013me1_16,avg_inc_factor,avg_pov_rate,qct
Variable Description,STATE FIPS code,COUNTY FIPS Code,Combined STATE and COUNTY FIPS codes,TRACT code as number with specified decimal,"State, County, tract FIPS codes for match with Census Data Sources","Indicates 2010 Census tract split by New England HMFA boundaries, 1 = split","UNIQUE IDENTIFIER: State, County, tract FIPS codes with 1 digit split indicator",Metropolitan Tract indicator = 1,MSA (Metro CBSA) or nonmetro part of State 100 percent count of population,"MSA (Metro CBSA) Code, set at 100,000 x State FIPS Code for nonmetro counties",HUD Metro FMR Area (HMFA) Code used in FMR and Income Limit Systems,"HMFA Very-Low Income Limits for 4-person households for FY2018, based on 50% of Area Median Gross Income, de-trended and CPI-matched to 2010-2014 ACS Data","HMFA Very-Low Income Limits for 4-person households for FY2018, based on 50% of Area Median Gross Income, de-trended and CPI-matched to 2011-2015 ACS Data","HMFA Very-Low Income Limits for 4-person households for FY2018, based on 50% of Area Median Gross Income, de-trended and CPI-matched to 2012-2016 ACS Data","Tract 100 Percent Count of Population (2010 Census, SF-1)","Tract 100 Percent Count of Population in Group Quarters (not in Households) (2010 Census, SF-1)","Tract 100 Percent Count of Households (2010 Census, SF-1)","Persons for whom poverty status has been determined, estimate (2010-2014 ACS 5-year Tabulations)","Persons for whom poverty status has been determined, margin of error for 90% confidence interval (2010-2014 ACS 5-year Tabulations)","Persons in poverty, estimate (2010-2014 ACS 5-year Tabulations)","Persons in poverty, margin of error for 90% confidence interval (2010-2014 ACS 5-year Tabulations)","Tract median household income, estimate (2010-2014 ACS 5-year Tabulations)","Tract median Household income, margin of error for 90% confidence interval (2010-2014 ACS 5-year Tabulations)","Persons for whom poverty status has been determined, estimate (2011-2015 ACS 5-year Tabulations)","Persons for whom poverty status has been determined, margin of error for 90% confidence interval (2011-2015 ACS 5-year Tabulations)","Persons in poverty, estimate (2011-2015 ACS 5-year Tabulations)","Persons in poverty, margin of error for 90% confidence interval (2011-2015 ACS 5-year Tabulations)","Tract median household income, estimate (2011-2015 ACS 5-year Tabulations)","Tract median Household income, margin of error for 90% confidence interval (2011-2015 ACS 5-year Tabulations)","Persons for whom poverty status has been determined, estimate (2012-2016 ACS 5-year Tabulations)","Persons for whom poverty status has been determined, margin of error for 90% confidence interval ((2012-2016 ACS 5-year Tabulations)","Persons in poverty, estimate ((2012-2016 ACS 5-year Tabulations)","Persons in poverty, margin of error for 90% confidence interval ((2012-2016 ACS 5-year Tabulations)","Tract median household income, estimate ((2012-2016 ACS 5-year Tabulations)","Tract median Household income, margin of error for 90% confidence interval ((2012-2016 ACS 5-year Tabulations)",Average Ratio of Tract Average Household Size Adjusted Income Limit to Tract Median Household Income,Average Tract Poverty Rate,"QCT 2019, 1=YES, 0=NO"
,24,3,24003,7011.01,24003701101,0,2.40037E+11,1,2710489,12580,METRO12580M12580,44947,45000,45568,4151,0,1567,4057,361,163,82,122895,16146,4045,352,159,75,119886,12007,4000,345,203,89,117679,17684,0.39035356,,0
,24,3,24003,7011.02,24003701102,0,2.40037E+11,1,2710489,12580,METRO12580M12580,44947,45000,45568,7508,100,2970,7671,585,688,340,95455,12051,8028,500,627,309,98344,11751,7659,457,461,226,90103,10102,0.487292379,,0
,24,3,24003,7012,24003701200,0,2.40037E+11,1,2710489,12580,METRO12580M12580,44947,45000,45568,8298,0,3107,8532,638,213,165,96494,17396,8756,554,127,99,114453,19414,9023,687,118,84,126534,18508,0.422820508,0,0
,24,3,24003,7013,24003701300,0,2.40037E+11,1,2710489,12580,METRO12580M12580,44947,45000,45568,7906,21,2725,7607,527,274,176,106089,16072,7509,430,498,304,107725,9609,7768,443,511,260,112000,14721,0.44406116,0,0
,24,3,24003,7014,24003701400,0,2.40037E+11,1,2710489,12580,METRO12580M12580,44947,45000,45568,3575,15,1256,3580,290,59,45,116736,27301,3355,276,111,79,106786,21596,3424,193,195,107,108359,17893,0.433581442,0,0
,24,3,24003,7021,24003702100,0,2.40037E+11,1,2710489,12580,METRO12580M12580,44947,45000,45568,6722,0,2609,6579,504,287,193,117478,6771,6989,628,637,441,118104,7250,7279,562,529,456,123304,10953,0.388744235,0,0
,24,3,24003,7022.04,24003702204,0,2.40037E+11,1,2710489,12580,METRO12580M12580,44947,45000,45568,4169,0,1525,4172,192,120,100,125069,10293,4308,212,110,78,126736,15799,4206,191,91,57,131875,14194,0.370307326,0,0
,24,3,24003,7022.05,24003702205,0,2.40037E+11,1,2710489,12580,METRO12580M12580,44947,45000,45568,5322,0,2302,5472,381,162,120,89205,13023,5485,342,168,121,90729,10816,5584,390,160,118,92365,12350,0.496448606,0,0
,24,3,24003,7022.06,24003702206,0,2.40037E+11,1,2710489,12580,METRO12580M12580,44947,45000,45568,6372,157,2312,6325,519,136,135,100500,10987,6248,629,135,137,105045,13095,6321,606,146,125,108264,11146,0.45057416,0,0
,24,3,24003,7022.08,24003702208,0,2.40037E+11,1,2710489,12580,METRO12580M12580,44947,45000,45568,6962,0,2541,7323,419,133,108,106852,11063,7177,528,140,124,109926,10719,6865,454,187,166,109962,15177,0.435039669,0,0
,24,3,24003,7022.09,24003702209,0,2.40037E+11,1,2710489,12580,METRO12580M12580,44947,45000,45568,4523,0,1523,4609,238,310,199,162500,14184,4539,227,190,126,148696,19735,4492,238,68,59,150772,10883,0.316260219,0,0
